id	subject	question	answer	notes	tags
183	DOM event listener	Event Bubbling or Event Capturing?	"### **Event Propagation in JavaScript: Bubbling vs. Capturing**

Event propagation determines **the order in which events fire** when multiple elements are nested. The **two phases** of event propagation are:

1️⃣ **Bubbling (default, `false`)** → The **inner element's event fires first**, then propagates outward to the parent elements.  
2️⃣ **Capturing (`true`)** → The **outer element's event fires first**, then propagates inward to the target element.

---

## **📌 Understanding Event Propagation**
Imagine the following HTML structure:
```html
<div id=""myDiv"">
    <p id=""myP"">Click me!</p>
</div>
```
If the user clicks on `<p>`, should **`</p><p>` or `</p><div>` handle the event first**? The answer depends on **bubbling** or **capturing**.

---

## **📌 Example 1: Event Bubbling (Default)**
```html




<div id=""myDiv"" style=""width:200px;height:100px;background-color:lightgray;"">
    <p id=""myP"">Click me!</p>
</div>





```
✔ Clicking on `<p>` first triggers `""Paragraph Clicked!""`, then **bubbles up** to `</p><div>` showing `""Div Clicked!""`.

---

## **📌 Example 2: Event Capturing (Setting `true`)**
To **capture the event from the parent first**, set the `useCapture` parameter to `true`.

```html

```
✔ Clicking on `<p>` now **first triggers `""Div Clicked!""`**, then `""Paragraph Clicked!""`.

---

## **📌 Example 3: Stopping Propagation**
If you want to **prevent an event from propagating** further, use `event.stopPropagation()`.

```html

```
✔ Clicking on `</p><p>` **only triggers `""Paragraph Clicked!""`**, stopping the event from reaching `</p><div>`.

---

## **📌 Summary**
| **Propagation Type** | **Order of Event Execution** | **Default?** | **Example** |
|--------------------|----------------------|------------|-----------|
| **Bubbling (`false`)** | **Inner to Outer** (`<p>` → `</p><div>`) | ✅ Yes | `element.addEventListener(""click"", func, false);` |
| **Capturing (`true`)** | **Outer to Inner** (`<div>` → `<p>`) | ❌ No | `element.addEventListener(""click"", func, true);` |
| **Stopping Propagation** | Stops event from moving further | ❌ No | `event.stopPropagation();` |

🚀 **Understanding event propagation helps manage event flow efficiently, preventing unintended interactions!**</p></div></div></div></div></div>"		
184	DOM event listener	The removeEventListener() method	"### **Removing Event Listeners in JavaScript Using `removeEventListener()`**

The **`removeEventListener()`** method allows you to remove an event listener that was previously attached using **`addEventListener()`**. This is useful when you want to stop event execution dynamically.

---

## **📌 Syntax**
```js
element.removeEventListener(""event"", functionName);
```
- **`event`** → The type of event to remove (e.g., `""click""`, `""mousemove""`, `""keydown""`).
- **`functionName`** → The **same function reference** used in `addEventListener()`.

✔ **Important:** The function **must be named** to be removable.

---

## **📌 Example 1: Removing a `mousemove` Event**
```html




<p>Move your mouse over this area to see coordinates.</p>
<p id=""demo""></p>
<button onclick=""removeMouseMove()"">Stop Tracking</button>





```
✔ **While moving the mouse, coordinates are displayed.**  
✔ **Clicking ""Stop Tracking"" removes the event listener, stopping updates.**

---

## **📌 Example 2: Removing a Click Event from a Button**
```html
<button id=""myBtn"">Click Me</button>
<button onclick=""disableClick()"">Disable Click Event</button>


```
✔ **Clicking ""Disable Click Event"" stops the button from showing alerts.**

---

## **📌 Example 3: Why Anonymous Functions Cannot Be Removed**
```js
element.addEventListener(""click"", function() {
    alert(""Hello"");
});

element.removeEventListener(""click"", function() {
    alert(""Hello"");
});
```
❌ **The event is not removed** because the function references are different.  
✔ **Solution:** Use a **named function** instead.

---

## **📌 Summary**
| **Feature** | **Description** | **Example** |
|------------|----------------|-------------|
| **Removing an Event Listener** | Works only with named functions. | `element.removeEventListener(""click"", myFunction);` |
| **Anonymous Functions** | Cannot be removed. | ❌ `element.removeEventListener(""click"", function() {});` |
| **Stopping Dynamic Events** | Useful for stopping tracking, clicks, keypresses, etc. | `removeEventListener(""mousemove"", showCoords);` |

🚀 **Use `removeEventListener()` to dynamically control event execution, improving interactivity and efficiency!**"		
185	DOM event listener	The addEventListener() object interface (no w3)	"### **Using `handleEvent()` in `addEventListener()`**

The **`addEventListener()`** method usually takes a **function** as an event handler. However, it can also accept an **object** that has a `handleEvent(event)` method. This allows for **object-oriented event handling** where an object itself can manage multiple events.

---

## **📌 Syntax Using `handleEvent`**
```js
element.addEventListener(""eventType"", {
    handleEvent: function(event) {
        // Handle event here
    }
});
```
- The object **must have a `handleEvent()` method**.
- When the event occurs, **`handleEvent()` is automatically called**.

---

## **📌 Example 1: Using an Object with `handleEvent()`**
```html




<button id=""myButton"">Click Me</button>





```
✔ **Clicking the button triggers `handleEvent()` inside the object.**

---

## **📌 Example 2: Using a Constructor Function**
You can create **custom objects** to manage events dynamically.

```html




<button id=""myButton"">Click Me</button>





```
✔ **Clicking the button changes its text to `""Clicked!""`**.

---

## **📌 Example 3: Using a Class with `handleEvent()`**
A **better way** to manage event listeners **is with ES6 classes**.

```html




<button id=""myButton"">Click Me</button>





```
✔ The **button text changes when clicked**, and the handler is **an object instead of a function**.

---

## **📌 When to Use `handleEvent()` Instead of a Regular Function**
| **Feature** | **Function in `addEventListener()`** | **Object with `handleEvent()`** |
|------------|----------------------------------|------------------------------|
| **Ease of use** | Simple and widely used | More structured for complex scenarios |
| **Handles multiple events** | Requires multiple functions | Can be managed inside one object |
| **State Management** | No built-in state | Can store state inside object properties |
| **Reusability** | Can reuse functions | More reusable for multiple event types |

---

## **📌 Summary**
✔ **`handleEvent()` allows objects to act as event listeners**, making them more structured and reusable.  
✔ **Useful for managing multiple event types inside a single object**.  
✔ **Works well with ES6 classes**, allowing stateful event handling.  

🚀 **Using `handleEvent()` is useful for structured, object-oriented event management in JavaScript!**"		
186	DOM navigation	DOM Nodes	"### **Understanding the HTML DOM Node Tree in JavaScript**

The **HTML DOM (Document Object Model)** represents an HTML document as a **tree structure**, where everything in the document is a **node**. This allows JavaScript to **access, create, modify, and delete nodes dynamically**.

---

## **📌 Types of Nodes in the DOM**
| **Node Type** | **Description** |
|--------------|----------------|
| **Document Node** | Represents the **entire document**. (`document`) |
| **Element Nodes** | Represent **HTML elements** (e.g., `<div>`, `<p>`, `</p><h1>`). |
| **Text Nodes** | Contain **text inside an element** (e.g., `""Hello World""` inside `<p>Hello World</p>`). |
| **Attribute Nodes** (**Deprecated**) | Represent attributes (e.g., `class=""example""`). Attributes are now accessed as properties. |
| **Comment Nodes** | Represent **comments** in the HTML document (e.g., `<!-- This is a comment -->`). |

---

## **📌 Example: HTML DOM Node Tree**
Consider the following HTML:

```html



    <div id=""container"">
        <p>Hello World!</p>
    </div>


```

The **DOM node tree** for this document:

```
Document (document)
 ├──  (Element Node)
      ├──  (Element Node)
           ├── <div id=""container""> (Element Node)
                ├── <p> (Element Node)
                     ├── ""Hello World!"" (Text Node)
```
✔ The `document` is the **root node** containing **element nodes**, which contain **text nodes**.

---

## **📌 Accessing Nodes Using JavaScript**
JavaScript allows you to **traverse** the DOM and access different types of nodes.

### **Example 1: Accessing an Element Node**
```js
var element = document.getElementById(""container"");
console.log(element.nodeName);  // Output: DIV
console.log(element.nodeType);  // Output: 1 (Element Node)
```
✔ `nodeName` returns the **tag name**.  
✔ `nodeType` returns the **numeric node type** (`1 = Element Node`).

---

## **📌 Creating, Modifying, and Deleting Nodes**
### **Example 2: Creating and Appending a New Node**
```js
var newParagraph = document.createElement(""p""); // Create a </p><p> element
var textNode = document.createTextNode(""This is new!""); // Create a text node
newParagraph.appendChild(textNode); // Append text to </p><p>

document.getElementById(""container"").appendChild(newParagraph); // Add to </p><div>
```
✔ **Dynamically adds** `<p>This is new!</p>` inside `<div id=""container"">`.

---

### **Example 3: Removing a Node**
```js
var parent = document.getElementById(""container"");
var child = document.querySelector(""p""); // Select first <p>
parent.removeChild(child); // Remove the paragraph
```
✔ This **removes** the first `</p><p>` inside `</p><div id=""container"">`.

---

## **📌 Special Nodes: Comments and Attributes**
### **Example 4: Adding a Comment Node**
```js
var comment = document.createComment(""This is a comment"");
document.body.appendChild(comment);
```
✔ Creates and **appends a comment** (`<!-- This is a comment -->`) inside ``.

### **Example 5: Modifying an Attribute Node (Modern Approach)**
```js
document.getElementById(""container"").setAttribute(""class"", ""newClass"");
```
✔ **Sets the `class` attribute** on `<div id=""container"">`.

---

## **📌 Summary**
| **Node Type** | **Example** | **JavaScript Access** |
|--------------|------------|----------------------|
| **Document Node** | The entire page | `document` |
| **Element Node** | `<p>`, `</p><div>` | `document.getElementById(""id"")` |
| **Text Node** | `""Hello World""` inside `<p>` | `.textContent` |
| **Attribute Node** | `class=""example""` (**deprecated**) | `.setAttribute(""class"", ""newClass"")` |
| **Comment Node** | `<!-- Comment -->` | `document.createComment(""text"")` |

🚀 **Understanding the HTML DOM Node Tree allows full control over web page structure using JavaScript!**</p></div></div></div></div></div></div></h1></div>"		
187	DOM navigation	Node Relationships	"### **Understanding Parent, Child, and Sibling Nodes in the HTML DOM Tree**

In the **DOM (Document Object Model)**, elements are arranged in a **hierarchical tree structure**, where each element is related to others through **parent-child** and **sibling** relationships.

---

## **📌 DOM Node Relationships**
| **Term** | **Description** |
|----------|---------------|
| **Root Node** | The **top node** of the document tree (``). |
| **Parent Node** | A node **that contains other nodes** inside it. |
| **Child Nodes** | Nodes **directly inside** a parent node. |
| **Sibling Nodes** | Nodes **on the same level**, sharing the same parent. |

---

## **📌 Example: DOM Tree Structure**
### **HTML Code**
```html


    
        <title>DOM Tutorial</title>
    
    
        <h1>DOM Lesson one</h1>
        <p>Hello world!</p>
    

```
### **DOM Hierarchy Representation**
```
Document (document)
 ├──  (Root Node)
      ├──  (Child of )
      │    ├── <title> (Child of &lt;head&gt;)
      │         ├── ""DOM Tutorial"" (Text Node)
      ├── &lt;body&gt; (Child of &lt;html&gt;)
           ├── &lt;h1&gt; (Child of &lt;body&gt;)
           │    ├── ""DOM Lesson one"" (Text Node)
           ├── &lt;p&gt; (Child of &lt;body&gt;)
                ├── ""Hello world!"" (Text Node)
```

---

## **📌 Understanding the Node Relationships**
- **`&lt;html&gt;` is the root node** and has **two children**: `&lt;head&gt;` and `&lt;body&gt;`.
- **`&lt;head&gt;` has one child**: `&lt;title&gt;`.
- **`&lt;title&gt;` has one text child**: `""DOM Tutorial""`.
- **`&lt;body&gt;` has two children**: `&lt;h1&gt;` and `&lt;p&gt;`.
- **`&lt;h1&gt;` has one text child**: `""DOM Lesson one""`.
- **`&lt;p&gt;` has one text child**: `""Hello world!""`.
- **`&lt;h1&gt;` and `&lt;p&gt;` are siblings**, sharing `&lt;body&gt;` as their parent.

---

## **📌 JavaScript Methods for Traversing the DOM**
You can **navigate the DOM tree** using various properties.

| **Property** | **Description** |
|-------------|----------------|
| `element.parentNode` | Returns the **parent node** of an element. |
| `element.childNodes` | Returns a **NodeList** of an element's children (including text nodes). |
| `element.children` | Returns a **collection of child elements** (ignores text nodes). |
| `element.firstChild` | Returns the **first child** (includes text nodes). |
| `element.firstElementChild` | Returns the **first child element** (excludes text nodes). |
| `element.lastChild` | Returns the **last child** (includes text nodes). |
| `element.lastElementChild` | Returns the **last child element** (excludes text nodes). |
| `element.nextSibling` | Returns the **next sibling** (includes text nodes). |
| `element.nextElementSibling` | Returns the **next sibling element** (excludes text nodes). |
| `element.previousSibling` | Returns the **previous sibling** (includes text nodes). |
| `element.previousElementSibling` | Returns the **previous sibling element** (excludes text nodes). |

---

## **📌 Example 1: Getting the Parent Node**
```html
&lt;p id=""myParagraph""&gt;Hello World!&lt;/p&gt;

&lt;script&gt;
let p = document.getElementById(""myParagraph"");
console.log(p.parentNode.nodeName); // Output: BODY
&lt;/script&gt;
```
✔ Returns `""BODY""` because `&lt;p&gt;` is inside `&lt;body&gt;`.

---

## **📌 Example 2: Getting All Child Elements**
```html
&lt;div id=""container""&gt;
    &lt;p&gt;First paragraph&lt;/p&gt;
    &lt;p&gt;Second paragraph&lt;/p&gt;
&lt;/div&gt;

&lt;script&gt;
let container = document.getElementById(""container"");
console.log(container.children.length);  // Output: 2
console.log(container.firstElementChild.innerHTML); // Output: ""First paragraph""
console.log(container.lastElementChild.innerHTML);  // Output: ""Second paragraph""
&lt;/script&gt;
```
✔ **`children` ignores text nodes** and only counts actual elements.

---

## **📌 Example 3: Getting Sibling Nodes**
```html
&lt;h1 id=""heading""&gt;Heading&lt;/h1&gt;
&lt;p&gt;Paragraph 1&lt;/p&gt;
&lt;p id=""target""&gt;Paragraph 2&lt;/p&gt;

&lt;script&gt;
let p2 = document.getElementById(""target"");
console.log(p2.previousElementSibling.nodeName); // Output: ""P""
&lt;/script&gt;
```
✔ Finds the **previous sibling** of `&lt;p id=""target""&gt;`, which is another `&lt;p&gt;`.

---

## **📌 Summary**
| **Concept** | **Example Usage** |
|-------------|----------------|
| **Get Parent Node** | `element.parentNode` |
| **Get Child Nodes** | `element.childNodes` (includes text) |
| **Get Child Elements** | `element.children` (only elements) |
| **Get First Child** | `element.firstChild` / `element.firstElementChild` |
| **Get Last Child** | `element.lastChild` / `element.lastElementChild` |
| **Get Next Sibling** | `element.nextSibling` / `element.nextElementSibling` |
| **Get Previous Sibling** | `element.previousSibling` / `element.previousElementSibling` |

🚀 **Mastering the DOM hierarchy allows you to manipulate and traverse the document effectively!**&lt;/body&gt;&lt;/html&gt;</title>"		
188	DOM navigation	Navigating Between Nodes	"### **Navigating the DOM Using Node Properties in JavaScript**

The HTML **DOM (Document Object Model)** provides several **node properties** that allow you to **traverse the node tree** and access elements dynamically.

---

## **📌 Node Properties for Traversing the DOM**
| **Property** | **Description** |
|-------------|----------------|
| `parentNode` | Returns the **parent node** of an element. |
| `childNodes[nodenumber]` | Returns a **NodeList** of all child nodes (including text nodes). |
| `firstChild` | Returns the **first child node** (including text nodes). |
| `lastChild` | Returns the **last child node** (including text nodes). |
| `nextSibling` | Returns the **next sibling node** (including text nodes). |
| `previousSibling` | Returns the **previous sibling node** (including text nodes). |

**Important:** `childNodes`, `firstChild`, `lastChild`, `nextSibling`, and `previousSibling` include **text nodes** (whitespace between elements is counted as a text node).

To work only with **elements**, use:
- `children` instead of `childNodes`
- `firstElementChild` instead of `firstChild`
- `lastElementChild` instead of `lastChild`
- `nextElementSibling` instead of `nextSibling`
- `previousElementSibling` instead of `previousSibling`

---

## **📌 Example: Basic HTML Structure**
```html




<div id=""container"">
    <h2>Title</h2>
    <p>First paragraph</p>
    <p id=""target"">Second paragraph</p>
    <p>Third paragraph</p>
</div>



```
---

## **📌 Example 1: Getting the Parent Node**
```js
let target = document.getElementById(""target"");
console.log(target.parentNode.nodeName); // Output: DIV
```
✔ Returns `""DIV""` because `<p>` is inside `</p><div id=""container"">`.

---

## **📌 Example 2: Accessing Child Nodes**
```js
let container = document.getElementById(""container"");
console.log(container.childNodes.length); // Output: Number of all child nodes (including text)
console.log(container.childNodes[1].nodeName); // Output: ""H2""
```
✔ `childNodes` includes **text nodes**, so the actual elements may not be at expected indexes.

**Use `children` to get only elements**:
```js
console.log(container.children.length); // Output: 3 (Only elements)
console.log(container.children[0].nodeName); // Output: ""H2""
```

---

## **📌 Example 3: Getting the First and Last Child**
```js
console.log(container.firstChild.nodeName); // Output: #text (due to whitespace)
console.log(container.lastChild.nodeName); // Output: #text (due to whitespace)
```
✔ **Use `firstElementChild` and `lastElementChild` to ignore text nodes**:
```js
console.log(container.firstElementChild.nodeName); // Output: ""H2""
console.log(container.lastElementChild.nodeName); // Output: ""P""
```

---

## **📌 Example 4: Getting Next and Previous Sibling**
```js
let target = document.getElementById(""target"");
console.log(target.nextSibling.nodeName); // Output: #text (whitespace)
console.log(target.previousSibling.nodeName); // Output: #text (whitespace)
```
✔ **Use `nextElementSibling` and `previousElementSibling` to skip text nodes**:
```js
console.log(target.nextElementSibling.nodeName); // Output: ""P""
console.log(target.previousElementSibling.nodeName); // Output: ""P""
```

---

## **📌 Summary**
| **Method** | **Includes Text Nodes?** | **Example Usage** |
|------------|----------------|-------------|
| `parentNode` | No | `element.parentNode` |
| `childNodes[n]` | ✅ Yes | `element.childNodes[1]` |
| `firstChild` | ✅ Yes | `element.firstChild` |
| `lastChild` | ✅ Yes | `element.lastChild` |
| `nextSibling` | ✅ Yes | `element.nextSibling` |
| `previousSibling` | ✅ Yes | `element.previousSibling` |
| `children` | ❌ No (Only elements) | `element.children[1]` |
| `firstElementChild` | ❌ No | `element.firstElementChild` |
| `lastElementChild` | ❌ No | `element.lastElementChild` |
| `nextElementSibling` | ❌ No | `element.nextElementSibling` |
| `previousElementSibling` | ❌ No | `element.previousElementSibling` |

🚀 **Understanding DOM navigation helps in dynamically modifying and interacting with HTML elements efficiently!**</div>"		
189	DOM navigation	Child Nodes and Node Values	"### **Understanding Text Nodes in the DOM and How to Access Text Content**

A **common mistake** in DOM processing is assuming that an **element node** directly contains text. In reality:
✔ **An element node (`<title>`, `&lt;p&gt;`, `&lt;h1&gt;`, etc.) contains a text node.**  
✔ **The actual text is stored inside a `text node` as its child.**  

---

## **📌 Example: Understanding Text Nodes**
Consider the following HTML:
```html
&lt;title id=""demo""&gt;DOM Tutorial</title>
```
Here, `<title>` is an **element node**, but `""DOM Tutorial""` is a **text node** inside it.

The **DOM structure looks like this:**
```
&lt;title&gt; (Element Node)
 ├── ""DOM Tutorial"" (Text Node)
```

---

## **📌 How to Access the Text Node Value**
| **Method** | **Description** | **Example** |
|------------|----------------|-------------|
| `element.innerHTML` | Retrieves the inner HTML content (text included). | `element.innerHTML` |
| `element.firstChild.nodeValue` | Retrieves the **text content** inside the first child (text node). | `element.firstChild.nodeValue` |
| `element.childNodes[0].nodeValue` | Another way to get the **first text node** content. | `element.childNodes[0].nodeValue` |

---

## **📌 Example 1: Accessing the Text Content**
```html
&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;
    &lt;title id=""demo""&gt;DOM Tutorial</title>



<p id=""output""></p>





```
✔ **Retrieves `""DOM Tutorial""` using `innerHTML` and displays it inside `<p>`**.

---

## **📌 Example 2: Using `firstChild.nodeValue`**
```js
var myTitle = document.getElementById(""demo"").firstChild.nodeValue;
console.log(myTitle); // Output: ""DOM Tutorial""
```
✔ This **accesses the text node's value directly**.

---

## **📌 Example 3: Using `childNodes[0].nodeValue`**
```js
var myTitle = document.getElementById(""demo"").childNodes[0].nodeValue;
console.log(myTitle); // Output: ""DOM Tutorial""
```
✔ This **accesses the first child node**, which is the **text node**.

---

## **📌 Why Use `firstChild.nodeValue` Instead of `innerHTML`?**
| **Method** | **Best Use Case** |
|------------|------------------|
| `innerHTML` | When working with **both text and HTML elements inside an element**. |
| `firstChild.nodeValue` | When **you specifically want the text content only** (avoids reading HTML tags). |
| `childNodes[0].nodeValue` | Alternative way to access the first child text node. |

🚀 **Understanding text nodes in the DOM helps avoid errors when extracting text content dynamically!**</p>"		
190	DOM navigation	DOM Root Nodes	"### **Accessing the Full Document Using `document.body` and `document.documentElement`**

JavaScript provides **two special properties** that allow access to different parts of an HTML document:

| **Property** | **Description** |
|-------------|----------------|
| `document.body` | Returns the `` element (excluding ``). |
| `document.documentElement` | Returns the **entire document**, including ``. |

---

## **📌 Example: Accessing the ``**
```html



    <title>DOM Example</title>



<p id=""demo""></p>





```
✔ Retrieves **everything inside ``**, including elements and text.

---

## **📌 Example: Accessing the Entire Document (``)**
```js
console.log(document.documentElement.innerHTML);
```
✔ Logs the **entire HTML document**, including `` and ``.

---

## **📌 Example: Modifying the Body**
```js
document.body.style.backgroundColor = ""lightblue"";
```
✔ Changes the **background color** of the whole page.

---

## **📌 Example: Getting the Page Scroll Position**
These properties are useful when handling **scroll events**.

```js
console.log(""Page Scroll Y:"", document.documentElement.scrollTop);  // Scroll position (Y-axis)
console.log(""Page Height:"", document.documentElement.scrollHeight);  // Full height of document
```
✔ Useful for **infinite scrolling** or **detecting when the user reaches the bottom** of a page.

---

## **📌 Summary**
| **Property** | **Description** | **Example** |
|-------------|----------------|-------------|
| `document.body` | Accesses the **``** element only. | `document.body.innerHTML` |
| `document.documentElement` | Accesses the **entire document (``)**. | `document.documentElement.innerHTML` |
| `.scrollTop` | Gets **vertical scroll position**. | `document.documentElement.scrollTop` |
| `.scrollHeight` | Gets **total height of document**. | `document.documentElement.scrollHeight` |

🚀 **Using `document.body` and `document.documentElement` allows you to manipulate and interact with the full webpage dynamically!**"		
191	DOM navigation	The nodeName Property	"### **Understanding the `nodeName` Property in JavaScript**

The **`nodeName`** property returns the **name of a node** and is **read-only**. It helps identify different types of nodes in the **DOM (Document Object Model)**.

---

## **📌 Key Points About `nodeName`**
| **Node Type** | **Returned Value** |
|--------------|----------------|
| **Element Node** (`<h1>`, `<p>`) | Returns the **uppercase tag name** (e.g., `""H1""`, `""P""`). |
| **Attribute Node** (`id=""example""`) | Returns the **attribute name** (e.g., `""id""`). |
| **Text Node** (`""Hello World""`) | Always returns `""#text""`. |
| **Document Node** (`document`) | Always returns `""#document""`. |

---

## **📌 Example 1: Getting the Node Name of an HTML Element**
```html




</p></h1><h1 id=""title"">My First Page</h1>
<p id=""output""></p>





```
✔ **Displays `""Node Name: H1""`**, since `nodeName` returns the **tag name in uppercase**.

---

## **📌 Example 2: Getting the Node Name of a Text Node**
```html
<p id=""textNode"">Hello World!</p>
<p id=""output""></p>


```
✔ Returns `""Node Name: #text""`, since the **text inside a `<p>` is a text node**.

---

## **📌 Example 3: Getting the Node Name of the Document**
```html
</p><p id=""output""></p>


```
✔ Returns `""Node Name: #document""` because `document` is the **root node**.

---

## **📌 Example 4: Getting the Node Name of an Attribute**
```html
<p id=""myPara"" class=""example"">Hello</p>
<p id=""output""></p>


```
✔ Returns `""Node Name: class""`, since `nodeName` of an attribute returns **the attribute name**.

---

## **📌 Summary**
| **Node Type** | **Example** | **Returned `nodeName`** |
|--------------|------------|----------------|
| **Element Node** | `<h1>` | `""H1""` |
| **Attribute Node** | `class=""example""` | `""class""` |
| **Text Node** | `""Hello World!""` inside `<p>` | `""#text""` |
| **Document Node** | `document` | `""#document""` |

🚀 **Understanding `nodeName` helps in dynamically checking node types when working with the DOM!**</p></h1>"		
192	DOM navigation	The nodeValue Property	"### **Understanding the `nodeValue` Property in JavaScript**

The **`nodeValue`** property returns the **value of a node**. It behaves differently based on the **node type**.

---

## **📌 Key Points About `nodeValue`**
| **Node Type** | **Returned Value (`nodeValue`)** |
|--------------|-------------------------------|
| **Element Node** (`<p>`, `</p><h1>`) | `null` (Elements do not have values) |
| **Text Node** (`""Hello World""`) | The **text content** of the node |
| **Attribute Node** (`id=""example""`) | The **attribute value** (`""example""`) |

---

## **📌 Example 1: `nodeValue` of an Element Node**
```html
<p id=""myPara"">Hello World!</p>
<p id=""output""></p>


```
✔ **Returns `""Node Value: null""`** because **element nodes do not have a value**.

---

## **📌 Example 2: `nodeValue` of a Text Node**
```html
<p id=""myPara"">Hello World!</p>
<p id=""output""></p>


```
✔ **Returns `""Node Value: Hello World!""`** because **text nodes contain the actual text content**.

---

## **📌 Example 3: `nodeValue` of an Attribute Node**
```html
<p id=""myPara"" class=""example"">Hello</p>
<p id=""output""></p>


```
✔ **Returns `""Node Value: example""`** because **attribute nodes return the attribute's value**.

---

## **📌 Summary**
| **Node Type** | **Example** | **Returned `nodeValue`** |
|--------------|------------|----------------|
| **Element Node** | `<p>Hello</p>` | `null` |
| **Text Node** | `""Hello World!""` inside `<p>` | `""Hello World!""` |
| **Attribute Node** | `class=""example""` | `""example""` |

🚀 **Understanding `nodeValue` helps in dynamically retrieving text and attribute values when working with the DOM!**</p></h1>"		
193	DOM navigation	The nodeType Property	"### **Understanding the `nodeType` Property in JavaScript**

The **`nodeType`** property is **read-only** and returns a **numeric value** representing the type of a node. This helps in **differentiating between elements, text, comments, and document nodes**.

---

## **📌 Example: Checking the `nodeType` of an Element Node**
```html




<h1 id=""id01"">My First Page</h1>
<p id=""id02""></p>





```
✔ **Displays `""Node Type: 1""`**, since `<h1>` is an **element node (`1`)**.

---

## **📌 `nodeType` Values**
| **Type** | **Node Type** | **Example** |
|----------|-------------|-------------|
| **1** | **ELEMENT_NODE** | `</h1><h1>Title</h1>` |
| **2** (Deprecated) | **ATTRIBUTE_NODE** | `class=""heading""` |
| **3** | **TEXT_NODE** | `""Hello World!""` inside `<p>` |
| **8** | **COMMENT_NODE** | `<!-- This is a comment -->` |
| **9** | **DOCUMENT_NODE** | The entire **HTML document (`document`)** |
| **10** | **DOCUMENT_TYPE_NODE** | `` |

🚨 **Type 2 (ATTRIBUTE_NODE) is deprecated in the HTML DOM but still used in the XML DOM.**

---

## **📌 Example 1: Checking `nodeType` for Different Nodes**
```html




</p><h1 id=""title"">DOM Example</h1>
<p id=""output""></p>





```
✔ Returns:
```
Element Node Type: 1
Text Node Type: 3
Document Node Type: 9
```
---

## **📌 Example 2: Checking a Comment Node**
```html




<!-- This is a comment -->
<p id=""output""></p>





```
✔ Returns **""Comment Node Type: 8""**.

---

## **📌 Summary**
| **Node Type** | **Example** | **Returns (`nodeType`)** |
|--------------|------------|-----------------|
| **Element Node** | `<h1>Title</h1>` | `1` |
| **Attribute Node** (Deprecated) | `class=""heading""` | `2` |
| **Text Node** | `""Hello World!""` inside `<p>` | `3` |
| **Comment Node** | `<!-- Comment -->` | `8` |
| **Document Node** | `document` | `9` |
| **Document Type Node** | `` | `10` |

🚀 **Using `nodeType` helps identify different node types while working with the DOM dynamically!**</p>"		
194	DOM nodes	Creating New HTML Elements (Nodes)	"### **Creating and Appending New Elements in the DOM Using JavaScript**

JavaScript allows you to **dynamically create new elements**, add text to them, and insert them into an existing HTML document. This is useful for dynamically updating content without modifying the original HTML.

---

## **📌 Steps to Create and Append an Element**
1️⃣ **Create a new element** → `document.createElement(""tag"")`  
2️⃣ **Create a text node** → `document.createTextNode(""text content"")`  
3️⃣ **Append the text node to the new element** → `element.appendChild(textNode)`  
4️⃣ **Append the new element to an existing element** → `parent.appendChild(newElement)`

---

## **📌 Example 1: Creating and Adding a New `<p>` Element**
```html




</p><div id=""div1"">This is a container.</div>
<button onclick=""addParagraph()"">Add Paragraph</button>





```
✔ Clicking the **""Add Paragraph""** button inserts **`<p>This is a new paragraph.</p>`** inside `<div id=""div1"">`.

---

## **📌 Example 2: Adding Multiple Elements Dynamically**
You can create multiple elements dynamically and add them to an existing container.

```html




<ul id=""myList"">
    <li>Item 1</li>
    <li>Item 2</li>
</ul>
<button onclick=""addListItem()"">Add List Item</button>





```
✔ Clicking **""Add List Item""** dynamically adds a new `<li>` inside `<ul id=""myList"">`.

---

## **📌 Example 3: Removing an Element Dynamically**
To remove an element, use **`removeChild()`**.

```html
<button onclick=""removeLastItem()"">Remove Last Item</button>


```
✔ Clicking **""Remove Last Item""** deletes the last `<li>` inside `<ul id=""myList"">`.

---

## **📌 Summary**
| **Action** | **JavaScript Code** |
|------------|------------------|
| **Create a new element** | `var newElement = document.createElement(""tag"");` |
| **Create a text node** | `var textNode = document.createTextNode(""text"");` |
| **Append text to an element** | `newElement.appendChild(textNode);` |
| **Find an existing element** | `var element = document.getElementById(""id"");` |
| **Append the new element** | `element.appendChild(newElement);` |
| **Remove an element** | `element.removeChild(childElement);` |

🚀 **Using `createElement()` and `appendChild()` enables dynamic content creation in JavaScript, making web pages more interactive!**</ul></li></ul></li></div>"		
